Source,CAS Catalog Number,FieldNumber,Additional Identifier,Duplicate,Family,CommonName,Genus,Species,Name,affiliation,County,City,Locality,Inial Lat (starts 2018),Initial Long (starts 2018),Latitude,Longitude,Lat/Long Estimated,corrected by,date fixed,georeferencing notes,georeferenced longitude,georeferenced latitude,uncertainty raduis (m),fixed Latitude,fixed Longitude,How fixed lat/long determined,georeferenced by,lat/long protocol,How Lat/Long Det,georeference verification,Confidence Code,GE#,SignsHumanInteraction,BoatCollision,Shot,FisheryInteraction,OtherHumanInter,HowDetermined,OtherCauses,CauseOfDeathOtherRemarks,DateOfInitialObs,First Observed,InitialStatus,Era,ExaminationDate,month,day,year,NoExam,ExamCondition,Sex,AgeClass,condition,CarcassType,StraightLength,SL_units,SL_estimated,Tag at Stranding,Tag_1_ID,Tag_1_Color,Tag_1_Type,Tag_1_Placement,Tag_2_ID,Tag_2_Color,Tag_2_Type,Tag_2_Placement,Disposal_Towed,Disposal_Sunk,SpecimenDisp_ScientificCollection,Necropsy Code,Necropsied,Necropsy Type,Carcass Type,NecropsiedDate,NecropsiedBy,Additional Remarks,Gear Collected,Gear Disposition
CAS,,CAS-Zc-22OCT18-SLP,,,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,Marin,Stinson,On Stinson Beach,,,37.896433,-122.641217,TRUE,kkhigh,3/20/2021 0:30,,-122.641217,37.896433,53,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,22-Oct-18,Beach or Land,Alive,3,,10,,2018,TRUE,,Male,Adult,,Whole Carcass,,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,died as rescue team arried. Then washed out with the next high tide.,FALSE,
CAS,,CAS-Zc-22SEP00-RB,,R,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,RAYMOND BANDAR,,Marin,Sausalito,E. FORT BAKER PRESIDIO YACHT CLUB FLOATING,,,,,FALSE,kkhigh,3/22/2021 1:26,ngis based off of description,-122.475162,37.832622,187,,,,,,,,,,No,FALSE,FALSE,FALSE,,External Examination,FALSE,UNKNOWN,22-Sep-00,,Unknown,3,9/22/2000,9,,2000,FALSE,Advanced Decomposition,Male,,,No,72,in,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-22SEP17-SLP-A,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Mateo,Pacifica,"Rockaway Beach, south end",,,37.607929,-122.498522,FALSE,kkhigh,2/13/2021 22:26,,-122.498522,37.607929,16,,,,,,GPS,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,21-Sep-17,Beach or Land,Advanced Decomposition,3,9/22/2017,9,,2017,FALSE,Advanced Decomposition,Male,Adult,,Whole Carcass,252,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-22SEP17-SLP-B,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,Marin,Sausalito,"Rodeo Beach, north end",,,37.831743,-122.539005,FALSE,kkhigh,3/20/2021 3:04,,-122.539005,37.831743,46,,,,,,GPS,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,21-Sep-17,Beach or Land,Advanced Decomposition,3,9/22/2017,9,,2017,FALSE,Advanced Decomposition,Male,Subadult,,Whole Carcass,169,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23APR16-SLP,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Francisco,San Francisco,Pier 39 Floats,,,37.810719,-122.411503,TRUE,kkhigh,3/23/2021 21:15,,-122.411503,37.810719,48,,,,,,Internet/software,,,UME,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Apr-16,Beach or Land,Advanced Decomposition,3,4/23/2016,4,,2016,FALSE,Advanced Decomposition,Male,Pup / Calf,,Whole Carcass,1,cm,TRUE,FALSE,,,,,,,,,TRUE,FALSE,FALSE,,FALSE,,,,,Towed 37.804014 lat -122.539403.  id'd by photo sent by Pier 39 staff.,FALSE,
CAS,,CAS-Zc-23AUG09-MEF-B,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,MAUREEN E. FLANNERY,,San Francisco,,"Fort Funston, Thornton State Beach",,,37.71137,122.50322,FALSE,kkhigh,3/23/2021 22:00,,-122.50322,37.71137,69,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,External Examination,FALSE,CBD,23-Aug-09,,Advanced Decomposition,3,8/23/2009,8,,2009,FALSE,Advanced Decomposition,Male,Yearling,,No,120,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23AUG09-SLP-A,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Mateo,Half Moon Bay,Redondo S.,,,37 26 13.48,122 26 36.93,FALSE,kkhigh,2/28/2021 2:43,,-122.443592,37.437078,33,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Aug-09,,Advanced Decomposition,3,8/23/2009,8,,2009,FALSE,Advanced Decomposition,Unknown,Yearling,,No,104,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,1 OF 5 CARCASSES FOUND AT THIS SITE ON THIS DATE,FALSE,
CAS,,CAS-Zc-23AUG09-SLP-B,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Mateo,Half Moon Bay,Redondo S.,,,37 26 13.48,122 26 36.93,FALSE,kkhigh,2/28/2021 2:43,,-122.443592,37.437078,33,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Aug-09,,Advanced Decomposition,3,8/23/2009,8,,2009,FALSE,Advanced Decomposition,Unknown,Subadult,,No,173,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,1 OF 5 CARCASSES FOUND AT THIS SITE ON THIS DATE,FALSE,
CAS,,CAS-Zc-23AUG09-SLP-C,,,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San mateo,Half Moon Bay,Redondo S.,,,37 26 14.78,122 26 38.16,FALSE,kkhigh,2/28/2021 2:41,"original lat/long was up in greenery, no note of that location, ngis based off of location",-122.443824,37.437397,33,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Aug-09,,Advanced Decomposition,3,8/23/2009,8,,2009,FALSE,Advanced Decomposition,Male,Yearling,,No,107,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,1 OF 5 CARCASSES FOUND AT THIS SITE ON THIS DATE,FALSE,
CAS,,CAS-Zc-23AUG09-SLP-D,,,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Mateo,Half Moon Bay,Redondo S.,,,37 26 11.96,122 26 36.82,FALSE,kkhigh,2/28/2021 2:42,,-122.443824,37.436656,33,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Aug-09,,Advanced Decomposition,3,8/23/2009,8,,2009,FALSE,Advanced Decomposition,Male,Subadult,,No,170,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,1 OF 5 CARCASSES FOUND AT THIS SITE ON THIS DATE,FALSE,
